"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000275110",19.0007900313477,3.03125043330887,0.601070411024148,5.04308709547688,4.58080617710122e-07,0.00918543254632336
"ENSG00000225840",17.9395971304316,2.34124242101628,0.508089718598354,4.60793111003106,4.06695352919284e-06,0.0272354800890956
"ENSG00000280800",3595864.37900151,2.67157529220657,0.606107536533801,4.40775791616903,1.04446190230046e-05,0.0378884816495942
"ENSG00000280614",3628746.30199032,2.66470986559776,0.60603924131108,4.39692627796352,1.09794615718656e-05,0.0378884816495942
"ENSG00000281181",3649053.5541907,2.66038813630247,0.606016266478683,4.38996159585108,1.13370681177721e-05,0.0378884816495942
"ENSG00000281383",2003742.90195607,2.62434203526073,0.606747117790181,4.32526493874216,1.52348646986908e-05,0.0436413581340211
