"","genes","cluster"
"IFI6","IFI6",2
"LOC101928694","LOC101928694",1
"PAGR1","PAGR1",2
"STRN","STRN",1
"ARL6IP4","ARL6IP4",2
"EHD1","EHD1",2
"EIF4H","EIF4H",2
"MGAT1","MGAT1",2
"NFIA","NFIA",1
"USP34","USP34",1
"GLG1","GLG1",1
"DNASE2","DNASE2",2
"DOCK7","DOCK7",1
"GLTP","GLTP",2
"OGT","OGT",1
"PANK4","PANK4",2
"SOS1","SOS1",1
"FIS1","FIS1",2
"ADARB1","ADARB1",1
"MIR548H3","MIR548H3",1
"STAU2","STAU2",1
"TXNL1","TXNL1",2
"LAMTOR4","LAMTOR4",2
"RBM27","RBM27",1
"RNF126","RNF126",2
"SERF2.C15ORF63","SERF2.C15ORF63",2
"TESC","TESC",2
"ZNF292","ZNF292",1
"TOLLIP","TOLLIP",2
"NDRG3","NDRG3",1
"ECSIT","ECSIT",2
"PLEKHO1","PLEKHO1",2
"SLBP","SLBP",2
"SLC16A5","SLC16A5",2
"SESN1","SESN1",1
"MBNL1.AS1","MBNL1.AS1",1
"SERF2","SERF2",2
"PPP4C","PPP4C",2
"EYS","EYS",1
"TRAM2","TRAM2",1
"PITPNB","PITPNB",1
"SNAR.A10","SNAR.A10",2
"SNAR.A11","SNAR.A11",2
"SNAR.A14","SNAR.A14",2
"SNAR.A3","SNAR.A3",2
"SNAR.A4","SNAR.A4",2
"SNAR.A5","SNAR.A5",2
"SNAR.A6","SNAR.A6",2
"SNAR.A7","SNAR.A7",2
"SNAR.A8","SNAR.A8",2
"SNAR.A9","SNAR.A9",2
"XKR8","XKR8",2
"CHIC1","CHIC1",1
"HIST2H4A","HIST2H4A",2
"HIST2H4B","HIST2H4B",2
"ZNF394","ZNF394",2
"CTBP1","CTBP1",2
"MEF2A","MEF2A",1
"SYF2","SYF2",2
"TCEB2","TCEB2",2
"ZFC3H1","ZFC3H1",1
"BRI3","BRI3",2
"KIAA0922","KIAA0922",1
"PRIMPOL","PRIMPOL",1
"MTOR","MTOR",1
"ACN9","ACN9",1
"MAFK","MAFK",2
"RPS6KA4","RPS6KA4",2
"STS","STS",1
"PHKB","PHKB",1
"TMEM59","TMEM59",2
"ASXL2","ASXL2",1
"EIF3I","EIF3I",2
"MAZ","MAZ",2
"TMC5","TMC5",2
"ZFP36L2","ZFP36L2",2
"CASP2","CASP2",1
"SYNRG","SYNRG",1
"TMA7","TMA7",2
"TMEM206","TMEM206",1
"PDLIM2","PDLIM2",2
"SQSTM1","SQSTM1",2
"PPP1CA","PPP1CA",2
"CSNK1G2","CSNK1G2",2
"VWA8","VWA8",1
"ANP32E","ANP32E",2
"RHOB","RHOB",2
"CENPB","CENPB",2
"LRCH1","LRCH1",1
"PRDX5","PRDX5",2
"ARF5","ARF5",2
"C19orf25","C19orf25",2
